internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Description,NAICS Code,NAICS Description,Place of Performance City Code,Place of Performance State Code,Place of Performance Country Code,awarding_agency_id,agency_slug,generated_internal_id
309495105,N0001918C1021,RTX CORPORATION,2018-03-23,2024-12-30,8688654906.89,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0001918C1021_9700_-NONE-_-NONE-
295531681,DESC0012704,BROOKHAVEN SCIENCE ASSOCIATES LLC,2015-01-05,2030-01-04,8561512218.42,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NY,USA,930,department-of-energy,CONT_AWD_DESC0012704_8900_-NONE-_-NONE-
309495115,N0001918C1037,NORTHROP GRUMMAN SYSTEMS CORPORATION,2018-02-15,2030-02-01,8478019987.67,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,FL,USA,1173,department-of-defense,CONT_AWD_N0001918C1037_9700_-NONE-_-NONE-
298614943,FA880219C0001,THE AEROSPACE CORPORATION,2018-10-01,2028-09-30,8435320333.07,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_FA880219C0001_9700_-NONE-_-NONE-
307885858,HT940223C0002,TRIWEST HEALTHCARE ALLIANCE CORP,2024-01-01,2026-12-31,8304608415.2,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,AZ,USA,1173,department-of-defense,CONT_AWD_HT940223C0002_9700_-NONE-_-NONE-
307885857,HT940223C0001,HUMANA GOVERNMENT BUSINESS INC,2023-02-01,2029-12-31,8302380861.43,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,,,,KY,USA,1173,department-of-defense,CONT_AWD_HT940223C0001_9700_-NONE-_-NONE-
295475803,DEAC0207CH11359,"FERMI RESEARCH ALLIANCE, LLC",2007-01-01,2024-12-31,8292579520.86,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,IL,USA,930,department-of-energy,CONT_AWD_DEAC0207CH11359_8900_-NONE-_-NONE-
309497355,N0001921C0020,LOCKHEED MARTIN CORPORATION,2020-12-31,2027-12-30,7953264130.5,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001921C0020_9700_-NONE-_-NONE-
274735749,0139,"KBR SERVICES, LLC",2006-08-22,2012-12-30,7865825758.15,Department of Defense,Department of the Army,DELIVERY ORDER,,,,,,IRQ,1173,department-of-defense,CONT_AWD_0139_9700_DAAA0902D0007_9700
309493548,N0001904C3146,THE BOEING COMPANY,2004-06-29,2026-08-31,7633729888.76,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,WA,USA,1173,department-of-defense,CONT_AWD_N0001904C3146_9700_-NONE-_-NONE-
295527128,DENA0003624,MISSION SUPPORT & TEST SERVICES LLC,2017-08-01,2027-11-30,7621715102.82,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,NV,USA,930,department-of-energy,CONT_AWD_DENA0003624_8900_-NONE-_-NONE-
309496614,N0001920C0011,RTX CORPORATION,2020-03-23,2030-10-15,7498605067.74,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0001920C0011_9700_-NONE-_-NONE-
349073815,W58RGZ16C0023,THE BOEING COMPANY,2016-03-21,2028-03-31,7465915207.31,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,AZ,USA,1173,department-of-defense,CONT_AWD_W58RGZ16C0023_9700_-NONE-_-NONE-
298615545,FA881018C0005,LOCKHEED MARTIN CORP,2018-08-14,2029-07-31,7437743474.72,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_FA881018C0005_9700_-NONE-_-NONE-
309499314,N0001924C0039,LOCKHEED MARTIN CORPORATION,2024-06-28,2033-09-30,7379699098.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,VA,USA,1173,department-of-defense,CONT_AWD_N0001924C0039_9700_-NONE-_-NONE-
272494792,0004,"AMENTUM SERVICES, INC.",2009-07-07,2022-06-30,7376022275.01,Department of Defense,Department of the Army,DELIVERY ORDER,,,,,,AFG,1173,department-of-defense,CONT_AWD_0004_9700_W52P1J07D0007_9700
309494244,N0001912C2001,BELL BOEING JOINT PROJECT OFFICE,2011-12-29,2021-09-30,7337457221.95,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001912C2001_9700_-NONE-_-NONE-
298557772,FA862506C6456,LOCKHEED MARTIN CORP,2006-02-28,2018-09-20,7261932653.67,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,GA,USA,1173,department-of-defense,CONT_AWD_FA862506C6456_9700_-NONE-_-NONE-
298582152,FA868224CB001,LOCKHEED MARTIN CORPORATION,2024-09-27,2033-01-31,7202488023.22,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,FL,USA,1173,department-of-defense,CONT_AWD_FA868224CB001_9700_-NONE-_-NONE-
309494161,N0001911C0083,LOCKHEED MARTIN CORPORATION,2011-08-08,2023-05-31,7186135705.16,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001911C0083_9700_-NONE-_-NONE-
295476268,DEAC0608RL14788,CH2M HILL PLATEAU REMEDIATION COMPANY,2008-06-19,2021-01-24,7065250859.58,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,WA,USA,930,department-of-energy,CONT_AWD_DEAC0608RL14788_8900_-NONE-_-NONE-
309494334,N0001914C0002,LOCKHEED MARTIN CORPORATION,2014-03-19,2025-07-31,6998362070.51,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001914C0002_9700_-NONE-_-NONE-
309512932,N0002423C2307,HUNTINGTON INGALLS INCORPORATED,2023-08-01,2034-02-28,6988080141.83,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,MS,USA,1173,department-of-defense,CONT_AWD_N0002423C2307_9700_-NONE-_-NONE-
298560058,FA863418C2701,THE BOEING COMPANY,2017-12-22,2027-11-30,6979382395.76,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,MO,USA,1173,department-of-defense,CONT_AWD_FA863418C2701_9700_-NONE-_-NONE-
309507620,N0002418C2307,HUNTINGTON INGALLS INCORPORATED,2018-09-27,2032-07-09,6888769554.74,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,MS,USA,1173,department-of-defense,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-
293079279,AIDOAATO1500007,"CHEMONICS INTERNATIONAL, INC.",2015-04-20,2026-11-28,6723916684.79,Agency for International Development,Agency for International Development,DELIVERY ORDER,,,,,DC,USA,801,agency-for-international-development,CONT_AWD_AIDOAATO1500007_7200_AIDOAAI1500004_7200
309503767,N0002408C2110,HUNTINGTON INGALLS INC,2008-08-01,2022-09-30,6645710960.11,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,VA,USA,1173,department-of-defense,CONT_AWD_N0002408C2110_9700_-NONE-_-NONE-
295476445,DEAC0909SR22505,SAVANNAH RIVER REMEDIATION LLC,2009-03-30,2022-02-26,6626030703.19,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,,,,,SC,USA,930,department-of-energy,CONT_AWD_DEAC0909SR22505_8900_-NONE-_-NONE-
309494512,N0001917C0015,BELL BOEING JOINT PROJECT OFFICE,2016-12-28,2027-11-30,6597245392.74,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001917C0015_9700_-NONE-_-NONE-
307238032,HQ014712C0004,THE BOEING COMPANY,2011-12-30,2025-12-31,6466627868.26,Department of Defense,Missile Defense Agency,DEFINITIVE CONTRACT,,,,,AL,USA,1173,department-of-defense,CONT_AWD_HQ014712C0004_9700_-NONE-_-NONE-
349045231,W56HZV15C0095,OSHKOSH DEFENSE LLC,2015-08-25,2025-09-25,6104204038.29,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,WI,USA,1173,department-of-defense,CONT_AWD_W56HZV15C0095_9700_-NONE-_-NONE-
309493685,N0001906C0081,SIKORSKY AIRCRAFT CORPORATION,2006-01-03,2026-06-30,6103285531.96,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_N0001906C0081_9700_-NONE-_-NONE-
273990507,0059,"KBR SERVICES, LLC",2003-08-12,2014-09-30,6062897262.53,Department of Defense,Department of the Army,DELIVERY ORDER,,,,,,IRQ,1173,department-of-defense,CONT_AWD_0059_9700_DAAA0902D0007_9700
309494274,N0001913C0008,LOCKHEED MARTIN CORPORATION,2013-02-28,2100-12-31,6035358369.47,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001913C0008_9700_-NONE-_-NONE-
298558398,FA862914C2403,SIKORSKY AIRCRAFT CORPORATION,2014-06-26,2027-09-30,6004579823.04,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_FA862914C2403_9700_-NONE-_-NONE-
298557827,FA862514C6450,LOCKHEED MARTIN CORP,2013-12-09,2020-07-31,5934097111.63,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,,,,,GA,USA,1173,department-of-defense,CONT_AWD_FA862514C6450_9700_-NONE-_-NONE-
309506492,N0002416C2229,NATIONAL STEEL AND SHIPBUILDING COMPANY,2016-06-30,2028-03-22,5875634500.23,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,CA,USA,1173,department-of-defense,CONT_AWD_N0002416C2229_9700_-NONE-_-NONE-
309502784,N0002405C5346,RAYTHEON COMPANY,2005-05-25,2019-09-29,5668542889.12,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,MA,USA,1173,department-of-defense,CONT_AWD_N0002405C5346_9700_-NONE-_-NONE-
348946749,W31P4Q15C0022,RAYTHEON COMPANY,2014-12-19,2025-05-31,5607558999.34,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,MA,USA,1173,department-of-defense,CONT_AWD_W31P4Q15C0022_9700_-NONE-_-NONE-
309494199,N0001912C0004,LOCKHEED MARTIN CORPORATION,2012-06-15,2026-02-28,5597451611.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,TX,USA,1173,department-of-defense,CONT_AWD_N0001912C0004_9700_-NONE-_-NONE-
349073874,W58RGZ17C0009,SIKORSKY AIRCRAFT CORPORATION,2017-06-22,2025-12-31,5584742286.87,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,,,,CT,USA,1173,department-of-defense,CONT_AWD_W58RGZ17C0009_9700_-NONE-_-NONE-
309494235,N0001912C0112,THE BOEING COMPANY,2012-08-31,2031-10-13,5544117634.23,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,,,,WA,USA,1173,department-of-defense,CONT_AWD_N0001912C0112_9700_-NONE-_-NONE-
309495120,N0001918C1046,THE BOEING COMPANY,2018-05-08,2028-08-31,5496533530.53,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,MO,USA,1173,department-of-defense,CONT_AWD_N0001918C1046_9700_-NONE-_-NONE-
309494326,N0001913C9999,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-05-13,2026-12-31,5374740355.12,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,,,,FL,USA,1173,department-of-defense,CONT_AWD_N0001913C9999_9700_-NONE-_-NONE-
