po_number,line_number,item_description,category_code,quantity,unit_price,line_amount
N0001917C0001,5,Military program support,CAT-AEROSPACE-DEFENSE,95,60582403.98,5755328378.22
89233218CNA000001,1,Power systems maintenance,CAT-ENERGY-UTILITIES,313,29299875.26,9170860956.76
89233218CNA000001,2,Environmental and energy operations,CAT-ENERGY-UTILITIES,430,33233757.99,14290515935.08
89233218CNA000001,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,12,964921581.83,11579058981.91
N0002417C2100,1,Military program support,CAT-AEROSPACE-DEFENSE,464,15395436.33,7143482458.54
N0002417C2100,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,130,65668916.33,8536959122.27
N0002417C2100,3,Military program support,CAT-AEROSPACE-DEFENSE,316,34278556.37,10832023812.48
N0002417C2100,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,317,25715316.17,8151755225.71
DENA0001942,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,315,18437553.31,5807829292.67
DENA0001942,2,Environmental and energy operations,CAT-ENERGY-UTILITIES,157,38506549.89,6045528333.18
DENA0001942,3,Power systems maintenance,CAT-ENERGY-UTILITIES,410,15111554.54,6195737360.27
DENA0001942,4,Energy services,CAT-ENERGY-UTILITIES,399,20294243.92,8097403322.57
DENA0001942,5,Utility infrastructure support,CAT-ENERGY-UTILITIES,187,42372407.51,7923640205.1
FA862511C6600,1,Military program support,CAT-AEROSPACE-DEFENSE,4,1473008425.45,5892033701.79
FA862511C6600,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,55,104989442.12,5774419316.39
FA862511C6600,3,Military program support,CAT-AEROSPACE-DEFENSE,126,85130008.94,10726381126.32
FA862511C6600,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,444,21549738.97,9568084104.53
N0002417C2117,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,90,100411763.5,9037058715.14
N0002417C2117,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,455,18711840.9,8513887607.75
N0002417C2117,3,Military program support,CAT-AEROSPACE-DEFENSE,18,466722816.31,8401010693.55
N0002417C2117,4,Defense platform components,CAT-AEROSPACE-DEFENSE,313,16062041.01,5027418836.56
DEAC0576RL01830,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,301,25058113.04,7542492024.55
DEAC0576RL01830,2,Fuel and utility services,CAT-ENERGY-UTILITIES,353,36435076.73,12861582084.22
DEAC0576RL01830,3,Energy services,CAT-ENERGY-UTILITIES,490,20645981.13,10116530752.84
N0001920C0009,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,245,25799351.28,6320841062.53
N0001920C0009,2,Military program support,CAT-AEROSPACE-DEFENSE,141,96820377.26,13651673193.81
N0001920C0009,3,Military program support,CAT-AEROSPACE-DEFENSE,4,2541917093.43,10167668373.72
DEAC5206NA25396,1,Fuel and utility services,CAT-ENERGY-UTILITIES,208,45402321.78,9443682929.32
DEAC5206NA25396,2,Utility infrastructure support,CAT-ENERGY-UTILITIES,428,22165024.93,9486630671.65
DEAC5206NA25396,3,Fuel and utility services,CAT-ENERGY-UTILITIES,312,11038455.23,3443998030.44
DEAC5206NA25396,4,Fuel and utility services,CAT-ENERGY-UTILITIES,481,10495752.6,5048456999.55
DEAC0908SR22470,1,Power systems maintenance,CAT-ENERGY-UTILITIES,497,14608563.0,7260455808.54
DEAC0908SR22470,2,Energy services,CAT-ENERGY-UTILITIES,29,82234716.91,2384806790.41
DEAC0908SR22470,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,240,24321694.17,5837206599.84
DEAC0908SR22470,4,Fuel and utility services,CAT-ENERGY-UTILITIES,268,21276086.76,5701991252.36
DEAC0908SR22470,5,Power systems maintenance,CAT-ENERGY-UTILITIES,223,26705653.08,5955360636.08
DEAC0705ID14517,1,Energy services,CAT-ENERGY-UTILITIES,294,38513019.64,11322827774.32
DEAC0705ID14517,2,Energy services,CAT-ENERGY-UTILITIES,430,13922843.06,5986822515.19
DEAC0705ID14517,3,Energy services,CAT-ENERGY-UTILITIES,390,22576905.25,8804993046.44
N0001923C0003,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,38,103754333.64,3942664678.25
N0001923C0003,2,Defense platform components,CAT-AEROSPACE-DEFENSE,428,8342562.39,3570616701.48
N0001923C0003,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,374,16900553.9,6320807159.55
N0001923C0003,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,52,79240276.68,4120494387.51
N0001923C0003,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,498,13144737.06,6546079056.21
HT940216C0002,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,408,23409442.34,9551052473.75
HT940216C0002,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,448,8681366.81,3889252332.08
HT940216C0002,3,Defense platform components,CAT-AEROSPACE-DEFENSE,12,323314018.1,3879768217.17
HT940216C0002,4,Military program support,CAT-AEROSPACE-DEFENSE,322,19171570.67,6173245755.12
NAS1510000,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,249,38962651.04,9701700108.87
NAS1510000,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,35,164923412.59,5772319440.5
NAS1510000,3,Defense platform components,CAT-AEROSPACE-DEFENSE,348,20010845.95,6963774391.17
DEAC0584OR21400,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,452,5563728.7,2514805370.39
DEAC0584OR21400,2,Energy services,CAT-ENERGY-UTILITIES,329,13892080.32,4570494426.27
DEAC0584OR21400,3,Fuel and utility services,CAT-ENERGY-UTILITIES,220,19262040.86,4237648989.53
DEAC0584OR21400,4,Utility infrastructure support,CAT-ENERGY-UTILITIES,306,10799416.45,3304621434.07
DEAC0584OR21400,5,Fuel and utility services,CAT-ENERGY-UTILITIES,326,18461789.88,6018543499.83
HT940211C0003,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,183,52351004.19,9580233767.53
HT940211C0003,2,Military program support,CAT-AEROSPACE-DEFENSE,359,18700719.94,6713558459.9
HT940211C0003,3,Military program support,CAT-AEROSPACE-DEFENSE,45,92385219.31,4157334869.1
N0002412C2115,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,474,8545559.67,4050595283.79
N0002412C2115,2,Military program support,CAT-AEROSPACE-DEFENSE,176,16746064.11,2947307283.78
N0002412C2115,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,2,2547124999.68,5094249999.35
N0002412C2115,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,196,22606943.74,4430960972.16
N0002412C2115,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,329,11126402.07,3660586280.92
DEAC0205CH11231,1,Fuel and utility services,CAT-ENERGY-UTILITIES,349,27359762.08,9548556966.67
DEAC0205CH11231,2,Energy services,CAT-ENERGY-UTILITIES,484,9056438.91,4383316432.18
DEAC0205CH11231,3,Power systems maintenance,CAT-ENERGY-UTILITIES,393,14787131.12,5811342529.57
HT940210C0002,1,Military program support,CAT-AEROSPACE-DEFENSE,47,56077039.84,2635620872.42
HT940210C0002,2,Military program support,CAT-AEROSPACE-DEFENSE,335,23099862.45,7738453921.06
HT940210C0002,3,Military program support,CAT-AEROSPACE-DEFENSE,449,13944093.14,6260897820.62
HT940210C0002,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,259,10732885.44,2779817329.2
N0001914C0067,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,80,61818992.25,4945519379.89
N0001914C0067,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,224,13675900.5,3063401711.05
N0001914C0067,3,Military program support,CAT-AEROSPACE-DEFENSE,132,18395772.63,2428241987.46
N0001914C0067,4,Defense platform components,CAT-AEROSPACE-DEFENSE,372,13603916.34,5060656878.51
N0001914C0067,5,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,431,6065008.29,2614018572.87
DEAC0343SF00048,1,Energy services,CAT-ENERGY-UTILITIES,117,24656420.99,2884801256.22
DEAC0343SF00048,2,Fuel and utility services,CAT-ENERGY-UTILITIES,430,5766343.46,2479527688.9
DEAC0343SF00048,3,Power systems maintenance,CAT-ENERGY-UTILITIES,182,22565263.37,4106877933.23
DEAC0343SF00048,4,Energy services,CAT-ENERGY-UTILITIES,296,16756381.87,4959889034.79
DEAC0343SF00048,5,Energy services,CAT-ENERGY-UTILITIES,350,10225100.45,3578785158.13
DENA0002839,1,Energy services,CAT-ENERGY-UTILITIES,286,20137452.97,5759311548.95
DENA0002839,2,Power systems maintenance,CAT-ENERGY-UTILITIES,194,7881983.57,1529104812.55
DENA0002839,3,Environmental and energy operations,CAT-ENERGY-UTILITIES,487,6649449.95,3238282126.39
DENA0002839,4,Energy services,CAT-ENERGY-UTILITIES,441,9599279.5,4233282258.94
DENA0002839,5,Energy services,CAT-ENERGY-UTILITIES,208,12846347.4,2672040259.08
DEAC0206CH11357,1,Environmental and energy operations,CAT-ENERGY-UTILITIES,189,17225436.32,3255607464.17
DEAC0206CH11357,2,Utility infrastructure support,CAT-ENERGY-UTILITIES,239,23565148.71,5632070541.45
DEAC0206CH11357,3,Fuel and utility services,CAT-ENERGY-UTILITIES,171,26340403.27,4504208959.85
DEAC0206CH11357,4,Power systems maintenance,CAT-ENERGY-UTILITIES,358,10969345.21,3927025583.44
DEAC2701RV14136,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,305,15326746.85,4674657788.91
DEAC2701RV14136,2,Power systems maintenance,CAT-ENERGY-UTILITIES,186,18324200.03,3408301205.16
DEAC2701RV14136,3,Power systems maintenance,CAT-ENERGY-UTILITIES,284,11262533.4,3198559486.5
DEAC2701RV14136,4,Power systems maintenance,CAT-ENERGY-UTILITIES,317,14005273.26,4439671623.12
DEAC2701RV14136,5,Energy services,CAT-ENERGY-UTILITIES,464,3283181.04,1523396002.05
N0002409C2104,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,213,27626520.67,5884448902.34
N0002409C2104,2,Defense platform components,CAT-AEROSPACE-DEFENSE,167,45161806.04,7542021608.24
N0002409C2104,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,470,5983628.59,2812305438.42
NNJ06TA25C,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,381,8844772.16,3369858191.08
NNJ06TA25C,2,Military program support,CAT-AEROSPACE-DEFENSE,374,13381884.5,5004824803.86
NNJ06TA25C,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,485,9449084.81,4582806130.8
NNJ06TA25C,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,399,6512491.75,2598484209.19
DEAC0276SF00515,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,289,7863624.28,2272587415.92
DEAC0276SF00515,2,Fuel and utility services,CAT-ENERGY-UTILITIES,319,8402319.95,2680340064.72
DEAC0276SF00515,3,Energy services,CAT-ENERGY-UTILITIES,461,3887162.13,1791981744.03
DEAC0276SF00515,4,Utility infrastructure support,CAT-ENERGY-UTILITIES,215,22710571.74,4882772923.81
DEAC0276SF00515,5,Fuel and utility services,CAT-ENERGY-UTILITIES,259,12574252.2,3256731319.89
89233018CNR000004,1,Power systems maintenance,CAT-ENERGY-UTILITIES,421,7476874.74,3147764266.49
89233018CNR000004,2,Utility infrastructure support,CAT-ENERGY-UTILITIES,139,51752743.0,7193631276.73
89233018CNR000004,3,Power systems maintenance,CAT-ENERGY-UTILITIES,418,10621141.25,4439637043.84
N0002418C2130,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,385,13710869.21,5278684647.66
N0002418C2130,2,Defense platform components,CAT-AEROSPACE-DEFENSE,343,16169079.85,5545994387.9
N0002418C2130,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,389,9258127.94,3601411768.01
FA821920C0006,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,322,12804399.02,4123016484.9
FA821920C0006,2,Military program support,CAT-AEROSPACE-DEFENSE,500,5601094.89,2800547445.77
FA821920C0006,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,162,14948098.67,2421591983.79
FA821920C0006,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,399,10153691.75,4051323008.73
HT940212C0001,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,486,3244350.21,1576754204.07
HT940212C0001,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,226,6886985.15,1556458642.91
HT940212C0001,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,120,20544778.73,2465373447.24
HT940212C0001,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,81,42889657.52,3474062259.48
HT940212C0001,5,Aircraft systems support,CAT-AEROSPACE-DEFENSE,437,9320164.35,4072911820.79
N0002416C2116,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,416,7729035.16,3215278627.72
N0002416C2116,2,Military program support,CAT-AEROSPACE-DEFENSE,309,11958251.47,3695099702.98
N0002416C2116,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,144,15002534.66,2160364990.88
N0002416C2116,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,143,24467616.81,3498869203.28
0005,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,213,12071280.46,2571182737.65
0005,2,Military program support,CAT-AEROSPACE-DEFENSE,101,30713403.42,3102053744.97
0005,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,387,4665252.8,1805452835.07
0005,4,Defense platform components,CAT-AEROSPACE-DEFENSE,75,31839155.81,2387936685.9
0005,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,194,13927887.25,2702010127.36
N0001916C0033,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,156,18963357.31,2958283740.73
N0001916C0033,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,411,4397051.37,1807188114.18
N0001916C0033,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,411,9209605.21,3785147742.07
N0001916C0033,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,217,17136064.11,3718525911.25
W15QKN21C0012,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,136,21917747.63,2980813677.47
W15QKN21C0012,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,193,13625757.47,2629771192.06
W15QKN21C0012,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,32,65756819.82,2104218234.26
W15QKN21C0012,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,35,59320546.36,2076219122.53
W15QKN21C0012,5,Aircraft systems support,CAT-AEROSPACE-DEFENSE,218,6050971.74,1319111839.36
FA861404C2004,1,Defense platform components,CAT-AEROSPACE-DEFENSE,152,21787153.88,3311647390.1
FA861404C2004,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,357,3605406.5,1287130119.6
FA861404C2004,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,174,8112652.41,1411601519.63
FA861404C2004,4,Military program support,CAT-AEROSPACE-DEFENSE,100,24053406.49,2405340649.09
FA861404C2004,5,Defense platform components,CAT-AEROSPACE-DEFENSE,482,5541597.14,2671049821.26
N0001907C0001,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,245,6461020.59,1582950043.86
N0001907C0001,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,73,40782408.09,2977115790.69
N0001907C0001,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,29,111291684.22,3227458842.36
N0001907C0001,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,76,42808624.74,3253455480.19
DEAC0500OR22800,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,95,26015366.65,2471459832.19
DEAC0500OR22800,2,Environmental and energy operations,CAT-ENERGY-UTILITIES,287,6723134.35,1929539559.42
DEAC0500OR22800,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,426,7237728.94,3083272529.08
DEAC0500OR22800,4,Fuel and utility services,CAT-ENERGY-UTILITIES,291,12029996.98,3500729120.64
DEAC3608GO28308,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,500,7436340.63,3718170312.77
DEAC3608GO28308,2,Environmental and energy operations,CAT-ENERGY-UTILITIES,146,20498187.42,2992735363.91
DEAC3608GO28308,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,194,21026549.02,4079150510.22
DEAC2708RV14800,1,Energy services,CAT-ENERGY-UTILITIES,93,56031579.56,5210936899.0
DEAC2708RV14800,2,Environmental and energy operations,CAT-ENERGY-UTILITIES,438,7409579.02,3245395611.14
DEAC2708RV14800,3,Power systems maintenance,CAT-ENERGY-UTILITIES,286,7398154.76,2115872261.4
N0001915C0003,1,Military program support,CAT-AEROSPACE-DEFENSE,59,65291130.75,3852176714.52
N0001915C0003,2,Defense platform components,CAT-AEROSPACE-DEFENSE,96,30571210.06,2934836165.28
N0001915C0003,3,Military program support,CAT-AEROSPACE-DEFENSE,98,38407293.72,3763914784.27
NNM07AB03C,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,434,5074515.31,2202339642.84
NNM07AB03C,2,Military program support,CAT-AEROSPACE-DEFENSE,78,22533562.03,1757617838.33
NNM07AB03C,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,343,8603529.62,2951010660.98
NNM07AB03C,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,26,90610928.68,2355884145.7
NNM07AB03C,5,Defense platform components,CAT-AEROSPACE-DEFENSE,437,2852293.22,1246452138.15
W31P4Q20C0023,1,Defense platform components,CAT-AEROSPACE-DEFENSE,140,15163787.93,2122930310.25
W31P4Q20C0023,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,473,8238075.85,3896609876.03
W31P4Q20C0023,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,323,13805430.96,4459154199.62
F4261098C0001,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,197,5069051.1,998603065.85
F4261098C0001,2,Defense platform components,CAT-AEROSPACE-DEFENSE,378,8300497.08,3137587896.12
F4261098C0001,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,325,8729989.99,2837246745.8
F4261098C0001,4,Military program support,CAT-AEROSPACE-DEFENSE,492,3418977.96,1682137155.93
F4261098C0001,5,Defense platform components,CAT-AEROSPACE-DEFENSE,206,6572062.65,1353844905.43
W31P4Q24C0022,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,328,4969074.32,1629856375.92
W31P4Q24C0022,2,Defense platform components,CAT-AEROSPACE-DEFENSE,304,15291635.66,4648657241.21
W31P4Q24C0022,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,443,8068445.0,3574321134.86
FA881113C0003,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,191,10234366.51,1954764003.15
FA881113C0003,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,180,7922063.06,1425971350.66
FA881113C0003,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,46,52283293.78,2405031513.94
FA881113C0003,4,Military program support,CAT-AEROSPACE-DEFENSE,435,4699794.54,2044410624.48
FA881113C0003,5,Military program support,CAT-AEROSPACE-DEFENSE,361,4623715.4,1669161258.64
N0002403C2101,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,36,28828200.27,1037815209.72
N0002403C2101,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,216,7645367.68,1651399418.42
N0002403C2101,3,Military program support,CAT-AEROSPACE-DEFENSE,278,9256428.63,2573287159.28
N0002403C2101,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,318,4436575.42,1410830983.97
N0002403C2101,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,223,12215244.55,2723999533.83
HQ014717C0032,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,268,13285655.33,3560555627.19
HQ014717C0032,2,Military program support,CAT-AEROSPACE-DEFENSE,482,1918694.98,924810981.6
HQ014717C0032,3,Defense platform components,CAT-AEROSPACE-DEFENSE,422,2465736.75,1040540909.52
HQ014717C0032,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,231,15387919.76,3554609464.31
F0470102C0002,1,Military program support,CAT-AEROSPACE-DEFENSE,294,7456875.64,2192321438.45
F0470102C0002,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,438,8879787.84,3889347072.65
F0470102C0002,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,173,6986626.14,1208686321.62
F0470102C0002,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,330,5279548.34,1742250952.96
0159,1,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,67,24181352.78,1620150636.23
0159,2,Military program support,CAT-AEROSPACE-DEFENSE,71,38478033.1,2731940350.01
0159,3,Defense platform components,CAT-AEROSPACE-DEFENSE,389,4809420.9,1870864731.89
0159,4,Military program support,CAT-AEROSPACE-DEFENSE,111,24562276.31,2726412670.45
FA861108C2897,1,Military program support,CAT-AEROSPACE-DEFENSE,28,52708568.52,1475839918.63
FA861108C2897,2,Military program support,CAT-AEROSPACE-DEFENSE,70,69648387.0,4875387090.03
FA861108C2897,3,Military program support,CAT-AEROSPACE-DEFENSE,266,9286410.28,2470185135.51
N0001918C1021,1,Military program support,CAT-AEROSPACE-DEFENSE,493,2654548.56,1308692441.37
N0001918C1021,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,197,8478396.96,1670244200.33
N0001918C1021,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,229,11273756.74,2581690293.66
N0001918C1021,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,61,18246586.09,1113041751.58
N0001918C1021,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,291,6924351.27,2014986219.95
DESC0012704,1,Utility infrastructure support,CAT-ENERGY-UTILITIES,267,10913775.56,2913978073.46
DESC0012704,2,Utility infrastructure support,CAT-ENERGY-UTILITIES,481,6805210.69,3273306342.94
DESC0012704,3,Utility infrastructure support,CAT-ENERGY-UTILITIES,54,43967181.52,2374227802.02
N0001918C1037,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,93,41743695.01,3882163635.8
N0001918C1037,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,298,7860147.98,2342324097.32
N0001918C1037,3,Military program support,CAT-AEROSPACE-DEFENSE,230,9797966.32,2253532254.55
FA880219C0001,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,481,5090987.59,2448765031.31
FA880219C0001,2,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,376,6508698.48,2447270629.2
FA880219C0001,3,Aircraft systems support,CAT-AEROSPACE-DEFENSE,107,33077426.85,3539284672.56
HT940223C0002,1,Military program support,CAT-AEROSPACE-DEFENSE,460,4876924.59,2243385312.27
HT940223C0002,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,316,2476809.43,782671778.64
HT940223C0002,3,Mission systems equipment,CAT-AEROSPACE-DEFENSE,423,5176497.43,2189658414.03
HT940223C0002,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,311,5511920.49,1714207271.85
HT940223C0002,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,39,35248349.7,1374685638.41
HT940223C0001,1,Defense platform components,CAT-AEROSPACE-DEFENSE,206,11489417.74,2366820054.14
HT940223C0001,2,Defense platform components,CAT-AEROSPACE-DEFENSE,360,2422544.47,872116009.74
HT940223C0001,3,Defense platform components,CAT-AEROSPACE-DEFENSE,238,7222436.16,1718939807.07
HT940223C0001,4,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,51,39510124.83,2015016366.21
HT940223C0001,5,Military program support,CAT-AEROSPACE-DEFENSE,255,5213680.88,1329488624.27
DEAC0207CH11359,1,Business analysis support,CAT-PROFESSIONAL-SERVICES,447,4827280.53,2157794396.99
DEAC0207CH11359,2,Consulting services,CAT-PROFESSIONAL-SERVICES,64,30797429.86,1971035510.82
DEAC0207CH11359,3,Business analysis support,CAT-PROFESSIONAL-SERVICES,311,6924456.15,2153505864.14
DEAC0207CH11359,4,Program management support,CAT-PROFESSIONAL-SERVICES,348,5776562.5,2010243748.91
N0001921C0020,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,360,8808211.4,3170956102.26
N0001921C0020,2,Defense platform components,CAT-AEROSPACE-DEFENSE,92,29857305.99,2746872151.21
N0001921C0020,3,Defense platform components,CAT-AEROSPACE-DEFENSE,360,5653988.55,2035435877.03
0139,1,Mission systems equipment,CAT-AEROSPACE-DEFENSE,73,11405778.24,832621811.18
0139,2,Aircraft systems support,CAT-AEROSPACE-DEFENSE,443,2434805.35,1078618770.49
0139,3,Military program support,CAT-AEROSPACE-DEFENSE,265,7097450.35,1880824342.44
0139,4,Aircraft systems support,CAT-AEROSPACE-DEFENSE,45,58079812.44,2613591559.92
0139,5,Defense platform components,CAT-AEROSPACE-DEFENSE,309,4725466.91,1460169274.12
N0001904C3146,1,Aircraft systems support,CAT-AEROSPACE-DEFENSE,13,67319668.91,875155695.87
N0001904C3146,2,Mission systems equipment,CAT-AEROSPACE-DEFENSE,90,13839119.77,1245520779.6
N0001904C3146,3,Aerospace engineering services,CAT-AEROSPACE-DEFENSE,428,5248845.97,2246506076.73
N0001904C3146,4,Mission systems equipment,CAT-AEROSPACE-DEFENSE,277,6897858.65,1910706845.52
N0001904C3146,5,Mission systems equipment,CAT-AEROSPACE-DEFENSE,415,3267085.52,1355840491.04
